caseid,alt,choice,numalts,ivtt,ovtt,tvtt,cost,dist,female,age,numveh,hhinc,wkccbd,vehbywrk
1,DA,1,5,13.38,2,15.38,70.63,7.69,0,35,4,42.5,0,4
1,SR2,0,5,18.38,2,20.38,35.32,7.69,0,35,4,42.5,0,4
1,SR3+,0,5,20.38,2,22.38,20.18,7.69,0,35,4,42.5,0,4
1,Transit,0,5,25.9,15.2,41.1,115.64,7.69,0,35,4,42.5,0,4
1,Bike,0,5,40.5,2,42.5,0,7.69,0,35,4,42.5,0,4
2,DA,0,5,29.92,10,39.92,390.81,11.62,0,40,1,17.5,1,1
2,SR2,0,5,34.92,10,44.92,195.4,11.62,0,40,1,17.5,1,1
2,SR3+,0,5,21.92,10,31.92,97.97,11.62,0,40,1,17.5,1,1
2,Transit,1,5,22.96,14.2,37.16,185,11.62,0,40,1,17.5,1,1
2,Bike,0,5,58.95,10,68.95,0,11.62,0,40,1,17.5,1,1
3,DA,1,4,8.6,6,14.6,37.76,4.1,1,28,1,12.5,0,0.33
3,SR2,0,4,13.6,6,19.6,18.88,4.1,1,28,1,12.5,0,0.33
3,SR3+,0,4,15.6,6,21.6,10.79,4.1,1,28,1,12.5,0,0.33
3,Transit,0,4,16.87,21.4,38.27,105,4.1,1,28,1,12.5,0,0.33
4,DA,0,4,30.6,8.5,39.1,417.32,14.58,1,34,2,55,1,1
4,SR2,0,4,35.7,8.5,44.2,208.66,14.58,1,34,2,55,1,1
4,SR3+,0,4,22.7,8.5,31.2,105.54,14.58,1,34,2,55,1,1
4,Transit,1,4,24.27,9,33.27,193.49,14.58,1,34,2,55,1,1
5,SR2,1,4,23.04,3,26.04,29.95,6.29,1,43,0,87.5,0,0
5,SR3+,0,4,25.04,3,28.04,17.12,6.29,1,43,0,87.5,0,0
5,Transit,0,4,25.04,23.5,48.54,100,6.29,1,43,0,87.5,0,0
5,Bike,0,4,34.35,3,37.35,0,6.29,1,43,0,87.5,0,0
6,SR2,0,5,11.14,3.5,14.64,14,2.83,1,18,0,87.5,0,0
6,SR3+,0,5,13.14,3.5,16.64,8,2.83,1,18,0,87.5,0,0
6,Transit,1,5,3.95,16.24,20.19,100,2.83,1,18,0,87.5,0,0
6,Bike,0,5,16.05,3.5,19.55,0,2.83,1,18,0,87.5,0,0
6,Walk,0,5,0,0,60.1,0,2.83,1,18,0,87.5,0,0
7,DA,1,6,8.8,3,11.8,31.65,3.44,0,43,2,12.5,0,1
7,SR2,0,6,13.8,3,16.8,15.83,3.44,0,43,2,12.5,0,1
7,SR3+,0,6,15.8,3,18.8,9.04,3.44,0,43,2,12.5,0,1
7,Transit,0,6,13.84,56.04,69.88,100,3.44,0,43,2,12.5,0,1
7,Bike,0,6,18.15,3,21.15,0,3.44,0,43,2,12.5,0,1
7,Walk,0,6,0,0,71.8,0,3.44,0,43,2,12.5,0,1
8,DA,1,5,18.44,5.5,23.94,287.81,9.81,0,41,2,87.5,0,1
8,SR2,0,5,23.44,5.5,28.94,143.91,9.81,0,41,2,87.5,0,1
8,SR3+,0,5,25.44,5.5,30.94,82.23,9.81,0,41,2,87.5,0,1
8,Transit,0,5,31.27,35.02,66.29,105,9.81,0,41,2,87.5,0,1
8,Bike,0,5,50.35,5.5,55.85,0,9.81,0,41,2,87.5,0,1
9,DA,1,4,11.44,2,13.44,62.78,6.82,1,30,2,55,0,2
9,SR2,0,4,16.44,2,18.44,31.39,6.82,1,30,2,55,0,2
9,SR3+,0,4,18.44,2,20.44,17.94,6.82,1,30,2,55,0,2
9,Transit,0,4,26.37,34,60.37,127.27,6.82,1,30,2,55,0,2
10,DA,1,4,14.58,6,20.58,100.54,11.17,1,29,1,32.5,0,1
